Time[s], LCDData0, LCDData1, LCDData2, LCDData3, LCDRS, LCDE, LogAnStb
-0.007812530, 0, 0, 0, 0, 0, 0, 0
0.000000000, 0, 0, 0, 0, 0, 0, 1
0.000001156, 1, 1, 0, 0, 0, 0, 1
0.000001469, 1, 1, 0, 0, 0, 1, 1
0.000001969, 1, 1, 0, 0, 0, 0, 1
0.004052437, 1, 1, 0, 0, 0, 1, 1
0.004052938, 1, 1, 0, 0, 0, 0, 1
0.004154469, 1, 1, 0, 0, 0, 1, 1
0.004154969, 1, 1, 0, 0, 0, 0, 1
0.004256188, 0, 1, 0, 0, 0, 0, 1
0.004256531, 0, 1, 0, 0, 0, 1, 1
0.004257000, 0, 1, 0, 0, 0, 0, 1
0.004358531, 0, 1, 0, 0, 0, 1, 1
0.004359031, 0, 1, 0, 0, 0, 0, 1
0.004360344, 0, 0, 0, 1, 0, 0, 1
0.004360656, 0, 0, 0, 1, 0, 1, 1
0.004361156, 0, 0, 0, 1, 0, 0, 1
0.004415969, 0, 0, 0, 0, 0, 0, 1
0.004416281, 0, 0, 0, 0, 0, 1, 1
0.004416781, 0, 0, 0, 0, 0, 0, 1
0.004418094, 0, 0, 0, 1, 0, 0, 1
0.004418438, 0, 0, 0, 1, 0, 1, 1
0.004418906, 0, 0, 0, 1, 0, 0, 1
0.004473719, 0, 0, 0, 0, 0, 0, 1
0.004474031, 0, 0, 0, 0, 0, 1, 1
0.004474531, 0, 0, 0, 0, 0, 0, 1
0.004475844, 1, 0, 0, 0, 0, 0, 1
0.004476188, 1, 0, 0, 0, 0, 1, 1
0.004476688, 1, 0, 0, 0, 0, 0, 1
0.007442063, 0, 0, 0, 0, 0, 0, 1
0.007442406, 0, 0, 0, 0, 0, 1, 1
0.007442875, 0, 0, 0, 0, 0, 0, 1
0.007444187, 0, 1, 0, 0, 0, 0, 1
0.007444219, 0, 1, 1, 0, 0, 0, 1
0.007444531, 0, 1, 1, 0, 0, 1, 1
0.007445031, 0, 1, 1, 0, 0, 0, 1
0.007499844, 0, 0, 0, 0, 0, 0, 1
0.007500188, 0, 0, 0, 0, 0, 1, 1
0.007500656, 0, 0, 0, 0, 0, 0, 1
0.007501969, 0, 0, 1, 1, 0, 0, 1
0.007502312, 0, 0, 1, 1, 0, 1, 1
0.007502813, 0, 0, 1, 1, 0, 0, 1
0.007558281, 0, 0, 0, 1, 0, 0, 1
0.007558625, 0, 0, 0, 1, 0, 1, 1
0.007559125, 0, 0, 0, 1, 0, 0, 1
0.007560437, 1, 1, 1, 0, 0, 0, 1
0.007560750, 1, 1, 1, 0, 0, 1, 1
0.007561250, 1, 1, 1, 0, 0, 0, 1
0.007616063, 0, 0, 1, 0, 1, 0, 1
0.007616406, 0, 0, 1, 0, 1, 1, 1
0.007616906, 0, 0, 1, 0, 1, 0, 1
0.007618219, 0, 0, 0, 1, 1, 0, 1
0.007618531, 0, 0, 0, 1, 1, 1, 1
0.007619031, 0, 0, 0, 1, 1, 0, 1
0.007673844, 0, 1, 1, 0, 1, 0, 1
0.007674156, 0, 1, 1, 0, 1, 1, 1
0.007674656, 0, 1, 1, 0, 1, 0, 1
0.007675969, 1, 0, 1, 0, 1, 0, 1
0.007676313, 1, 0, 1, 0, 1, 1, 1
0.007676813, 1, 0, 1, 0, 1, 0, 1
0.007731625, 0, 1, 1, 0, 1, 0, 1
0.007731937, 0, 1, 1, 0, 1, 1, 1
0.007732438, 0, 1, 1, 0, 1, 0, 1
0.007733750, 0, 0, 1, 1, 1, 0, 1
0.007734094, 0, 0, 1, 1, 1, 1, 1
