Time[s], LCDData0, LCDData1, LCDData2, LCDData3, LCDRS, LCDE, LogAnStb
-0.007812687, 0, 0, 0, 0, 0, 0, 0
0.000000000, 0, 0, 0, 0, 0, 0, 1
0.000001156, 1, 1, 0, 0, 0, 0, 1
0.000001469, 1, 1, 0, 0, 0, 1, 1
0.000001969, 1, 1, 0, 0, 0, 0, 1
0.004059594, 1, 1, 0, 0, 0, 1, 1
0.004060094, 1, 1, 0, 0, 0, 0, 1
0.004161781, 1, 1, 0, 0, 0, 1, 1
0.004162281, 1, 1, 0, 0, 0, 0, 1
0.004263656, 0, 1, 0, 0, 0, 0, 1
0.004263969, 0, 1, 0, 0, 0, 1, 1
0.004264469, 0, 1, 0, 0, 0, 0, 1
0.004366156, 0, 1, 0, 0, 0, 1, 1
0.004366656, 0, 1, 0, 0, 0, 0, 1
0.004367969, 0, 0, 0, 1, 0, 0, 1
0.004368313, 0, 0, 0, 1, 0, 1, 1
0.004368812, 0, 0, 0, 1, 0, 0, 1
0.004423688, 0, 0, 0, 0, 0, 0, 1
0.004424000, 0, 0, 0, 0, 0, 1, 1
0.004424500, 0, 0, 0, 0, 0, 0, 1
0.004425813, 0, 0, 0, 1, 0, 0, 1
0.004426156, 0, 0, 0, 1, 0, 1, 1
0.004426656, 0, 0, 0, 1, 0, 0, 1
0.004481531, 0, 0, 0, 0, 0, 0, 1
0.004481844, 0, 0, 0, 0, 0, 1, 1
0.004482344, 0, 0, 0, 0, 0, 0, 1
0.004483688, 1, 0, 0, 0, 0, 0, 1
0.004484000, 1, 0, 0, 0, 0, 1, 1
0.004484500, 1, 0, 0, 0, 0, 0, 1
0.007453969, 0, 0, 0, 0, 0, 0, 1
0.007454281, 0, 0, 0, 0, 0, 1, 1
0.007454781, 0, 0, 0, 0, 0, 0, 1
0.007456125, 0, 1, 1, 0, 0, 0, 1
0.007456437, 0, 1, 1, 0, 0, 1, 1
0.007456938, 0, 1, 1, 0, 0, 0, 1
0.007511844, 0, 0, 0, 0, 0, 0, 1
0.007512156, 0, 0, 0, 0, 0, 1, 1
0.007512656, 0, 0, 0, 0, 0, 0, 1
0.007513969, 0, 0, 1, 1, 0, 0, 1
0.007514312, 0, 0, 1, 1, 0, 1, 1
0.007514813, 0, 0, 1, 1, 0, 0, 1
0.007570375, 0, 0, 0, 1, 0, 0, 1
0.007570719, 0, 0, 0, 1, 0, 1, 1
0.007571188, 0, 0, 0, 1, 0, 0, 1
0.007572531, 1, 1, 1, 0, 0, 0, 1
0.007572844, 1, 1, 1, 0, 0, 1, 1
0.007573344, 1, 1, 1, 0, 0, 0, 1
0.007628250, 0, 0, 1, 0, 1, 0, 1
0.007628594, 0, 0, 1, 0, 1, 1, 1
0.007629063, 0, 0, 1, 0, 1, 0, 1
0.007630406, 0, 0, 0, 1, 1, 0, 1
0.007630719, 0, 0, 0, 1, 1, 1, 1
0.007631219, 0, 0, 0, 1, 1, 0, 1
0.007686125, 0, 1, 1, 0, 1, 0, 1
0.007686469, 0, 1, 1, 0, 1, 1, 1
0.007686937, 0, 1, 1, 0, 1, 0, 1
0.007688281, 1, 0, 1, 0, 1, 0, 1
0.007688594, 1, 0, 1, 0, 1, 1, 1
0.007689094, 1, 0, 1, 0, 1, 0, 1
0.007744000, 0, 1, 1, 0, 1, 0, 1
0.007744344, 0, 1, 1, 0, 1, 1, 1
0.007744813, 0, 1, 1, 0, 1, 0, 1
0.007746156, 0, 0, 1, 1, 1, 0, 1
0.007746469, 0, 0, 1, 1, 1, 1, 1
0.007746969, 0, 0, 1, 1, 1, 0, 1
0.007801844, 0, 1, 1, 0, 1, 0, 1
0.007802187, 0, 1, 1, 0, 1, 1, 1
0.007802688, 0, 1, 1, 0, 1, 0, 1
0.007804000, 0, 0, 1, 1, 1, 0, 1
0.007804313, 0, 0, 1, 1, 1, 1, 1
0.007804812, 0, 0, 1, 1, 1, 0, 1
0.007859719, 0, 1, 1, 0, 1, 0, 1
0.007860031, 0, 1, 1, 0, 1, 1, 1
0.007860531, 0, 1, 1, 0, 1, 0, 1
0.007861844, 1, 1, 1, 1, 1, 0, 1
0.007862187, 1, 1, 1, 1, 1, 1, 1
0.007862688, 1, 1, 1, 1, 1, 0, 1
0.007917594, 0, 1, 0, 0, 1, 0, 1
0.007917906, 0, 1, 0, 0, 1, 1, 1
0.007918406, 0, 1, 0, 0, 1, 0, 1
0.007919719, 0, 0, 1, 1, 1, 0, 1
0.007920063, 0, 0, 1, 1, 1, 1, 1
0.007920562, 0, 0, 1, 1, 1, 0, 1
0.007975438, 1, 0, 0, 1, 0, 0, 1
0.007975781, 1, 0, 0, 1, 0, 1, 1
0.007976281, 1, 0, 0, 1, 0, 0, 1
0.007977594, 0, 0, 1, 1, 0, 0, 1
0.007977937, 0, 0, 1, 1, 0, 1, 1
0.007978406, 0, 0, 1, 1, 0, 0, 1
0.008033312, 0, 0, 1, 1, 1, 0, 1
0.008033625, 0, 0, 1, 1, 1, 1, 1
0.008034125, 0, 0, 1, 1, 1, 0, 1
0.008035437, 0, 0, 1, 0, 1, 0, 1
0.008035781, 0, 0, 1, 0, 1, 1, 1
0.008036281, 0, 0, 1, 0, 1, 0, 1
0.008091156, 0, 0, 1, 1, 1, 0, 1
0.008091500, 0, 0, 1, 1, 1, 1, 1
0.008091969, 0, 0, 1, 1, 1, 0, 1
0.008093313, 0, 0, 1, 0, 1, 0, 1
0.008093625, 0, 0, 1, 0, 1, 1, 1
0.008094125, 0, 0, 1, 0, 1, 0, 1
0.008149031, 1, 0, 1, 1, 1, 0, 1
0.008149344, 1, 0, 1, 1, 1, 1, 1
0.008149844, 1, 0, 1, 1, 1, 0, 1
0.008151156, 1, 1, 0, 1, 1, 0, 1
0.008151500, 1, 1, 0, 1, 1, 1, 1
0.008152000, 1, 1, 0, 1, 1, 0, 1
0.008206906, 0, 1, 0, 0, 1, 0, 1
0.008207219, 0, 1, 0, 0, 1, 1, 1
0.008207719, 0, 1, 0, 0, 1, 0, 1
0.008209031, 1, 0, 0, 0, 1, 0, 1
0.008209375, 1, 0, 0, 0, 1, 1, 1
0.008209875, 1, 0, 0, 0, 1, 0, 1
